University,State,Location,Specialization,Established
Aligarh Muslim University,Uttar Pradesh,Aligarh,General,1920
"All India Institute of Medical Sciences, Bhopal",Madhya Pradesh,Bhopal,Medicine,2012
"All India Institute of Medical Sciences, Bhubaneswar",Odisha,Bhubaneswar,Medicine,2012
"All India Institute of Medical Sciences, Delhi",Delhi,Delhi,Medicine,1956
"All India Institute of Medical Sciences, Jodhpur",Rajasthan,Jodhpur,Medicine,2012
"All India Institute of Medical Sciences, Patna",Bihar,Patna,Medicine,2012
"All India Institute of Medical Sciences, Raipur",Chhattisgarh,Raipur,Medicine,2012
"All India Institute of Medical Sciences, Rishikesh",Uttarakhand,Rishikesh,Medicine,2012
Assam University,Assam,Silchar,General,1994
Babasaheb Bhimrao Ambedkar University,Uttar Pradesh,Lucknow,General,1996
Banaras Hindu University,Uttar Pradesh,Varanasi,General,1916
Central Agricultural University,Manipur,Imphal,Agriculture,1993
Central University of Andhra Pradesh,Andhra Pradesh,Anantapur,General,2019
Central University of Gujarat,Gujarat,Gandhinagar,General,2009
Central University of Haryana,Haryana,Mahendragarh,General,2009
Central University of Himachal Pradesh,Himachal Pradesh,Dharamsala,General,2009
Central University of Jammu,Jammu and Kashmir,Jammu,General,2011
Central University of Jharkhand,Jharkhand,Ranchi,General,2009
Central University of Karnataka,Karnataka,Kalaburagi,General,2009
Central University of Kashmir,Jammu and Kashmir,Srinagar,General,2009
Central University of Kerala,Kerala,Kasaragod,General,2009
Central University of Odisha,Odisha,Koraput,General,2009
Central University of Punjab,Punjab,Bathinda,General,2009
Central University of Rajasthan,Rajasthan,Ajmer,General,2009
Central University of South Bihar,Bihar,Gaya,General,2009
Central University of Tamil Nadu,Tamil Nadu,Tiruvarur,General,2009
Chanakya National Law University,Bihar,Patna,Law,2006
Damodaram Sanjivayya National Law University,Andhra Pradesh,Visakhapatnam,Law,2008
Dr. B R Ambedkar National Institute of Technology,Punjab,Jalandhar,Technology,1987
Dr. Hari Singh Gour University,Madhya Pradesh,Sagar,General,1946
Dr. Rajendra Prasad Central Agriculture University,Bihar,"Pusa, Samastipur",Agriculture,1905
Dr. Ram Manohar Lohia Institute of Medical Sciences,Uttar Pradesh,Lucknow,Medicine,2006
Dr. Ram Manohar Lohia National Law University,Uttar Pradesh,Lucknow,Law,2005
